iter	Passed	Remaining
214	1664	6076
215	1668	6057
216	1674	6043
217	1717	6162
218	1733	6181
219	1745	6187
220	1750	6171
221	1762	6175
222	1765	6153
223	1771	6138
224	1778	6125
225	1782	6105
226	1794	6111
227	1801	6101
228	1813	6106
229	1827	6118
230	1832	6101
231	1843	6103
232	1847	6081
233	1853	6068
234	1860	6057
235	1864	6035
236	1873	6032
237	1909	6112
238	1913	6092
239	1919	6078
240	1926	6066
241	1932	6052
242	1941	6047
243	1945	6029
244	1957	6031
245	1961	6012
246	1970	6007
247	1974	5986
248	1979	5969
249	1987	5961
250	1991	5943
251	1998	5931
252	2006	5922
253	2011	5906
254	2019	5899
255	2023	5881
256	2030	5869
257	2055	5910
258	2067	5914
259	2072	5897
260	2083	5900
261	2087	5881
262	2096	5876
263	2101	5859
264	2105	5838
265	2114	5835
266	2118	5815
267	2122	5797
268	2129	5788
269	2133	5768
270	2138	5753
271	2148	5749
272	2152	5732
273	2164	5734
274	2168	5716
275	2174	5704
276	2182	5697
277	2187	5681
278	2195	5673
279	2199	5656
280	2207	5647
281	2212	5634
282	2217	5619
283	2229	5620
284	2234	5606
285	2242	5597
286	2246	5581
287	2252	5569
288	2258	5556
289	2261	5537
290	2270	5531
291	2294	5563
292	2305	5562
293	2311	5551
294	2323	5552
295	2328	5538
296	2339	5537
297	2344	5522
298	2354	5520
299	2358	5502
300	2363	5487
301	2371	5480
302	2374	5463
303	2378	5446
304	2388	5441
305	2392	5425
306	2398	5413
307	2438	5478
308	2442	5462
309	2450	5453
310	2453	5436
311	2457	5419
312	2465	5411
313	2470	5397
314	2473	5379
315	2485	5379
316	2488	5362
317	2494	5349
318	2512	5362
319	2516	5347
320	2519	5329
321	2523	5313
322	2527	5297
323	2530	5280
324	2534	5263
325	2538	5248
326	2544	5236
327	2548	5221
328	2552	5206
329	2557	5192
330	2560	5175
331	2564	5160
332	2568	5144
333	2573	5131
334	2576	5115
335	2580	5099
336	2584	5084
337	2588	5069
338	2592	5054
339	2595	5038
340	2599	5023
341	2602	5007
342	2607	4993
343	2610	4978
344	2614	4963
345	2617	4948
346	2622	4934
347	2625	4919
348	2629	4904
349	2633	4890
350	2637	4875
351	2640	4860
352	2644	4846
353	2647	4831
354	2652	4818
355	2656	4804
356	2661	4793
357	2668	4785
358	2674	4775
359	2680	4764
360	2687	4756
361	2693	4746
362	2698	4735
363	2703	4724
364	2708	4712
365	2713	4700
366	2720	4692
367	2724	4679
368	2728	4665
369	2732	4653
370	2736	4640
371	2741	4627
372	2745	4614
373	2750	4604
374	2756	4593
375	2761	4582
376	2765	4570
377	2776	4569
378	2782	4558
379	2786	4545
380	2789	4532
381	2793	4519
382	2798	4508
383	2802	4495
384	2806	4483
385	2810	4470
386	2815	4460
387	2819	4447
388	2823	4435
389	2827	4422
390	2831	4410
391	2835	4397
392	2839	4385
393	2843	4373
394	2848	4363
395	2852	4350
396	2856	4338
397	2860	4327
398	2866	4317
399	2871	4307
400	2881	4304
401	2887	4294
402	2890	4282
403	2896	4273
404	2901	4262
405	2905	4251
406	2910	4240
407	2914	4228
408	2918	4217
409	2922	4205
410	2928	4196
411	2932	4184
412	2935	4172
413	2939	4160
414	2945	4151
415	2949	4140
416	2953	4128
417	2958	4119
418	2963	4109
419	2967	4098
420	2971	4086
421	2975	4075
422	2980	4065
423	2984	4054
424	2988	4043
425	2992	4032
426	2996	4021
427	3000	4010
428	3004	3999
429	3009	3989
430	3013	3978
431	3017	3968
432	3022	3957
433	3026	3946
434	3030	3935
435	3033	3924
436	3038	3915
437	3043	3905
438	3048	3895
439	3052	3884
440	3056	3874
441	3061	3864
442	3065	3854
443	3070	3844
444	3074	3833
445	3077	3823
446	3081	3812
447	3086	3803
448	3090	3792
449	3094	3781
450	3098	3771
451	3104	3763
452	3108	3753
453	3111	3742
454	3115	3731
455	3125	3728
456	3129	3718
457	3138	3714
458	3145	3706
459	3150	3698
460	3157	3692
461	3162	3683
462	3174	3681
463	3179	3672
464	3187	3666
465	3191	3656
466	3194	3646
467	3204	3642
468	3208	3632
469	3214	3625
470	3265	3667
471	3275	3664
472	3287	3662
473	3297	3659
474	3302	3650
475	3309	3643
476	3316	3636
477	3323	3628
478	3334	3626
479	3337	3616
480	3348	3612
481	3352	3602
482	3359	3595
483	3382	3606
484	3386	3595
485	3394	3590
486	3398	3580
487	3402	3570
488	3410	3564
489	3414	3553
490	3418	3544
491	3423	3535
492	3427	3525
493	3431	3514
494	3435	3504
495	3439	3494
496	3442	3484
497	3446	3473
498	3449	3463
499	3454	3454
500	3458	3444
501	3462	3434
502	3466	3425
503	3471	3416
504	3475	3406
505	3478	3396
506	3483	3387
507	3488	3378
508	3492	3369
509	3496	3359
510	3500	3349
511	3504	3340
512	3508	3330
513	3511	3320
514	3517	3312
515	3520	3302
516	3525	3293
517	3529	3283
518	3533	3274
519	3537	3265
520	3540	3255
521	3544	3245
522	3549	3237
523	3554	3228
524	3558	3219
525	3563	3210
526	3568	3203
527	3573	3194
528	3577	3185
529	3581	3176
530	3585	3166
531	3589	3157
532	3593	3148
533	3597	3139
534	3601	3130
535	3605	3121
536	3609	3111
537	3614	3103
538	3618	3094
539	3622	3085
540	3626	3076
541	3630	3068
542	3634	3058
543	3638	3050
544	3642	3040
545	3647	3032
546	3650	3023
547	3654	3014
548	3658	3005
549	3663	2997
550	3667	2988
551	3671	2979
552	3690	2983
553	3699	2978
554	3709	2973
555	3719	2969
556	3735	2971
557	3742	2964
558	3752	2960
559	3783	2972
560	3801	2974
561	3808	2968
562	3818	2964
563	3827	2958
564	3833	2951
565	3839	2944
566	3847	2938
567	3851	2929
568	3864	2927
569	3869	2919
570	3881	2916
571	3901	2919
572	3911	2914
573	3915	2906
574	3924	2900
575	3941	2901
576	3948	2894
577	3961	2892
578	3966	2884
579	3978	2880
580	3986	2875
581	3993	2868
582	3998	2859
583	4007	2854
584	4011	2845
585	4018	2839
586	4024	2831
587	4028	2822
588	4038	2817
589	4042	2808
590	4047	2801
591	4055	2794
592	4059	2786
593	4067	2780
594	4079	2776
595	4088	2771
596	4091	2762
597	4100	2756
598	4125	2761
599	4136	2757
600	4140	2748
601	4149	2743
602	4188	2757
603	4195	2750
604	4203	2744
605	4207	2735
606	4219	2731
607	4223	2723
608	4233	2718
609	4237	2709
610	4242	2700
611	4249	2694
612	4253	2685
613	4260	2678
614	4278	2678
615	4283	2670
616	4287	2661
617	4300	2658
618	4304	2649
619	4313	2643
620	4317	2635
621	4322	2627
622	4330	2620
623	4336	2613
624	4345	2607
625	4359	2604
626	4382	2607
627	4390	2600
628	4399	2594
629	4411	2590
630	4416	2582
631	4429	2579
632	4435	2571
633	4444	2565
634	4448	2556
635	4457	2551
636	4462	2543
637	4469	2536
638	4477	2529
639	4484	2522
640	4516	2529
641	4524	2522
642	4528	2514
643	4535	2507
644	4562	2511
645	4575	2507
646	4579	2498
647	4589	2493
648	4593	2484
649	4603	2478
650	4607	2470
651	4613	2462
652	4622	2456
653	4627	2448
654	4635	2441
655	4640	2433
656	4649	2427
657	4654	2419
658	4657	2410
659	4667	2404
660	4671	2395
661	4675	2387
662	4685	2381
663	4689	2372
664	4696	2366
665	4722	2368
666	4732	2362
667	4736	2354
668	4741	2345
669	4745	2337
670	4749	2328
671	4754	2320
672	4759	2312
673	4764	2304
674	4769	2296
675	4775	2288
676	4779	2280
677	4785	2272
678	4789	2264
679	4800	2259
680	4805	2251
681	4810	2242
682	4814	2234
683	4818	2226
684	4823	2218
685	4827	2209
686	4831	2201
687	4835	2192
688	4840	2185
689	4845	2177
690	4849	2168
691	4854	2160
692	4858	2152
693	4861	2143
694	4865	2135
695	4870	2127
696	4874	2119
697	4878	2110
698	4882	2102
699	4887	2094
700	4891	2086
701	4895	2078
702	4899	2069
703	4903	2061
704	4907	2053
705	4910	2045
706	4914	2036
707	4919	2028
708	4923	2020
709	4927	2012
710	4931	2004
711	4935	1996
712	4939	1988
713	4943	1980
714	4947	1972
715	4952	1964
716	4956	1956
717	4960	1948
718	4964	1940
719	4969	1932
720	4973	1924
721	4977	1916
722	4981	1908
723	4986	1900
724	4990	1892
725	4994	1885
726	4999	1877
727	5004	1869
728	5008	1861
729	5011	1853
730	5016	1846
731	5020	1838
732	5024	1830
733	5028	1822
734	5032	1814
735	5036	1806
736	5039	1798
737	5043	1790
738	5049	1783
739	5053	1775
740	5056	1767
741	5060	1759
742	5065	1752
743	5069	1744
744	5073	1736
745	5077	1728
746	5081	1721
747	5085	1713
748	5089	1705
749	5093	1697
750	5097	1690
751	5101	1682
752	5105	1674
753	5108	1666
754	5113	1659
755	5117	1651
756	5120	1643
757	5124	1636
758	5129	1628
759	5133	1621
760	5137	1613
761	5142	1606
762	5148	1599
763	5152	1591
764	5157	1584
765	5166	1578
766	5170	1570
767	5175	1563
768	5201	1562
769	5211	1556
770	5220	1550
771	5232	1545
772	5237	1537
773	5246	1531
774	5250	1524
775	5255	1516
776	5264	1510
777	5267	1503
778	5276	1496
779	5295	1493
780	5299	1486
781	5305	1479
782	5338	1479
783	5356	1475
784	5364	1469
785	5372	1462
786	5397	1460
787	5404	1453
788	5413	1447
789	5423	1441
790	5429	1434
791	5439	1428
792	5443	1420
793	5448	1413
794	5458	1407
795	5462	1399
796	5471	1393
797	5475	1385
798	5478	1378
799	5488	1372
800	5492	1364
801	5499	1357
802	5506	1350
803	5509	1343
804	5520	1337
805	5524	1329
806	5530	1322
807	5553	1319
808	5557	1312
809	5563	1305
810	5588	1302
811	5603	1297
812	5614	1291
813	5624	1285
814	5632	1278
815	5638	1271
816	5651	1265
817	5667	1261
818	5672	1253
819	5682	1247
820	5685	1239
821	5690	1232
822	5715	1229
823	5720	1221
824	5728	1215
825	5734	1207
826	5748	1202
827	5753	1195
828	5762	1188
829	5765	1180
830	5769	1173
831	5775	1166
832	5778	1158
833	5782	1151
834	5788	1143
835	5793	1136
836	5797	1128
837	5801	1121
838	5805	1114
839	5809	1106
840	5814	1099
841	5818	1091
842	5822	1084
843	5826	1076
844	5829	1069
845	5834	1062
846	5838	1054
847	5841	1047
848	5845	1039
849	5849	1032
850	5854	1025
851	5858	1017
852	5861	1010
853	5865	1002
854	5868	995
855	5872	987
856	5875	980
857	5878	972
858	5883	965
859	5886	958
860	5889	950
861	5892	943
862	5896	936
863	5900	928
864	5903	921
865	5906	914
866	5910	906
867	5915	899
868	5919	892
869	5923	885
870	5927	877
871	5933	870
872	5936	863
873	5940	856
874	5944	849
875	5947	841
876	5951	834
877	5954	827
878	5958	820
879	5961	812
880	5965	805
881	5968	798
882	5972	791
883	5975	784
884	5979	776
885	5982	769
886	5985	762
887	5989	755
888	5993	748
889	5996	741
890	6000	734
891	6003	726
892	6007	719
893	6011	712
894	6015	705
895	6018	698
896	6022	691
897	6027	684
898	6030	677
899	6034	670
900	6038	663
901	6043	656
902	6047	649
903	6052	642
904	6056	635
905	6061	628
906	6064	621
907	6068	614
908	6072	607
909	6076	600
910	6080	594
911	6084	587
912	6088	580
913	6091	573
914	6095	566
915	6098	559
916	6102	552
917	6107	545
918	6111	538
919	6114	531
920	6118	524
921	6123	518
922	6128	511
923	6132	504
924	6137	497
925	6141	490
926	6144	483
927	6148	477
928	6153	470
929	6157	463
930	6161	456
931	6164	449
932	6169	443
933	6173	436
934	6176	429
935	6179	422
936	6183	415
937	6187	408
938	6191	402
939	6194	395
940	6198	388
941	6202	381
942	6205	375
943	6209	368
944	6212	361
945	6217	354
946	6221	348
947	6224	341
948	6229	334
949	6233	328
950	6236	321
951	6240	314
952	6244	307
953	6248	301
954	6253	294
955	6257	288
956	6261	281
957	6265	274
958	6269	268
959	6273	261
960	6276	254
961	6280	248
962	6284	241
963	6288	234
964	6291	228
965	6296	221
966	6299	214
967	6304	208
968	6308	201
969	6313	195
970	6318	188
971	6321	182
972	6325	175
973	6332	169
974	6336	162
975	6340	155
976	6346	149
977	6384	143
978	6388	137
979	6393	130
980	6401	123
981	6405	117
982	6411	110
983	6419	104
984	6423	97
985	6430	91
986	6435	84
987	6440	78
988	6447	71
989	6451	65
990	6456	58
991	6466	52
992	6483	45
993	6488	39
994	6495	32
995	6499	26
996	6502	19
997	6512	13
998	6516	6
999	6522	0
